,Wind [kWh],Solar [kWh],Shortfall [kWh],Curtailed [kWh],Battery Dispatched [kWh],Total RE Plant Power [kWh]
0,201289.8490393696,0.0,0.0,0.0,0.0,201289.8490393696
1,271973.0310712613,0.0,0.0,0.0,0.0,271973.0310712613
2,376211.8714681795,0.0,0.0,0.0,0.0,376211.8714681795
3,429767.93402471277,0.0,0.0,0.0,0.0,429767.93402471277
4,488722.50826102734,0.0,0.0,0.0,0.0,488722.50826102734
5,535399.2387711903,0.0,0.0,0.0,0.0,535399.2387711903
6,566118.6062998758,0.0,0.0,0.0,0.0,566118.6062998758
7,502608.1167207927,2489.6633651186353,0.0,0.0,0.0,505097.78008591133
8,438932.46418533387,42526.11967975943,0.0,0.0,0.0,481458.5838650933
9,247956.79324410137,50263.54016670071,0.0,0.0,0.0,298220.33341080206
10,166273.08692460242,46209.11242027594,0.0,0.0,0.0,212482.19934487838
11,122523.00805213045,40321.13754944381,0.0,0.0,0.0,162844.14560157427
12,146323.98094721016,42186.91133400165,0.0,0.0,0.0,188510.8922812118
13,196584.28161753272,49180.00130299493,0.0,0.0,0.0,245764.28292052765
14,261935.45766538644,49799.52335198441,0.0,0.0,0.0,311734.9810173708
15,309794.7795226498,27096.594428937133,0.0,0.0,0.0,336891.37395158695
16,239488.6471042567,0.0,0.0,0.0,0.0,239488.6471042567
17,238428.86562578642,0.0,0.0,0.0,0.0,238428.86562578642
18,313637.5891329998,0.0,0.0,0.0,0.0,313637.5891329998
19,454210.5670398832,0.0,0.0,0.0,0.0,454210.5670398832
20,543634.5725785969,0.0,0.0,0.0,0.0,543634.5725785969
21,584274.0697219709,0.0,0.0,0.0,0.0,584274.0697219709
22,583902.3035165538,0.0,0.0,0.0,0.0,583902.3035165538
23,584274.0704237169,0.0,0.0,0.0,0.0,584274.0704237169
24,583025.5576317719,0.0,0.0,0.0,0.0,583025.5576317719
25,584274.0706612149,0.0,0.0,0.0,0.0,584274.0706612149
26,584274.0702723367,0.0,0.0,0.0,0.0,584274.0702723367
27,584274.0708465595,0.0,0.0,0.0,0.0,584274.0708465595
28,584274.0708213393,0.0,0.0,0.0,0.0,584274.0708213393
29,584274.0699066179,0.0,0.0,0.0,0.0,584274.0699066179
30,584274.070577913,0.0,0.0,0.0,0.0,584274.070577913
31,584274.0707942175,195.02438739855705,0.0,0.0,0.0,584469.095181616
32,584274.0705561761,4546.439646629804,0.0,0.0,0.0,588820.510202806
33,584274.0699694578,5213.101124945107,0.0,0.0,0.0,589487.1710944029
34,583613.3043422853,5563.485456473866,0.0,0.0,0.0,589176.7897987592
35,584274.0700794443,7217.918473217762,0.0,0.0,0.0,591491.9885526621
36,584274.0694778485,13713.860941541041,0.0,0.0,0.0,597987.9304193895
37,583680.1876636132,20168.59025998596,0.0,0.0,0.0,603848.7779235992
38,567248.3309822578,24048.262903688286,0.0,0.0,0.0,591296.5938859461
39,539577.5661665922,3349.9978315360536,0.0,0.0,0.0,542927.5639981283
40,559770.177988799,0.0,0.0,0.0,0.0,559770.177988799
41,584274.0703751536,0.0,0.0,0.0,0.0,584274.0703751536
42,584274.0700431431,0.0,0.0,0.0,0.0,584274.0700431431
43,583077.4667232422,0.0,0.0,0.0,0.0,583077.4667232422
44,581465.3266491827,0.0,0.0,0.0,0.0,581465.3266491827
45,583670.6368297588,0.0,0.0,0.0,0.0,583670.6368297588
46,581388.080151437,0.0,0.0,0.0,0.0,581388.080151437
47,571112.0978702544,0.0,0.0,0.0,0.0,571112.0978702544
48,562199.5195636087,0.0,0.0,0.0,0.0,562199.5195636087
49,537030.6802826291,0.0,0.0,0.0,0.0,537030.6802826291
50,529896.6075754383,0.0,0.0,0.0,0.0,529896.6075754383
51,511748.45037631434,0.0,0.0,0.0,0.0,511748.45037631434
52,432980.3002924328,0.0,0.0,0.0,0.0,432980.3002924328
53,437177.8843998924,0.0,0.0,0.0,0.0,437177.8843998924
54,415890.1364263483,0.0,0.0,0.0,0.0,415890.1364263483
55,392984.00989212486,415.3071588864629,0.0,0.0,0.0,393399.3170510113
56,333960.75021846144,4646.464439436282,0.0,0.0,0.0,338607.2146578977
57,79329.54768955291,8681.209918652468,0.0,0.0,0.0,88010.75760820539
58,69618.4762224006,46736.10717087656,0.0,0.0,0.0,116354.58339327716
59,94906.38568333995,40691.84935139635,0.0,0.0,0.0,135598.23503473628
60,99686.29128701905,42304.8757778092,0.0,0.0,0.0,141991.16706482825
61,83634.60578200452,49024.49085389197,0.0,0.0,0.0,132659.09663589648
62,80491.22173975405,49739.07014299211,0.0,0.0,0.0,130230.29188274615
63,75446.39908870775,28359.92945966207,0.0,0.0,0.0,103806.32854836983
64,79051.83525446105,0.0,0.0,0.0,0.0,79051.83525446105
65,120307.89825403609,0.0,0.0,0.0,0.0,120307.89825403609
66,239759.26647889556,0.0,0.0,0.0,0.0,239759.26647889556
67,373495.18761170766,0.0,0.0,0.0,0.0,373495.18761170766
68,489166.1922870388,0.0,0.0,0.0,0.0,489166.1922870388
69,557392.0770737833,0.0,0.0,0.0,0.0,557392.0770737833
70,581073.9890847636,0.0,0.0,0.0,0.0,581073.9890847636
71,583969.1891402369,0.0,0.0,0.0,0.0,583969.1891402369
72,579874.9513844625,0.0,0.0,0.0,0.0,579874.9513844625
73,577162.7502869016,0.0,0.0,0.0,0.0,577162.7502869016
74,572832.1598144381,0.0,0.0,0.0,0.0,572832.1598144381
75,534250.9286608305,0.0,0.0,0.0,0.0,534250.9286608305
76,465684.2061045294,0.0,0.0,0.0,0.0,465684.2061045294
77,462774.9141312441,0.0,0.0,0.0,0.0,462774.9141312441
78,409338.3949240792,0.0,0.0,0.0,0.0,409338.3949240792
79,354375.2373411414,3643.369462299961,0.0,0.0,0.0,358018.60680344136
80,256999.24936947465,46389.35550342462,0.0,0.0,0.0,303388.60487289925
81,212274.62481708275,52100.12852934279,0.0,0.0,0.0,264374.75334642554
82,140796.0259137012,47178.091219399874,0.0,0.0,0.0,187974.11713310107
83,70774.03406627178,40768.2209537408,0.0,0.0,0.0,111542.25502001258
